id,labels,properties
22,[RouteNode],"{\""componentId\"":22,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5009862,\""lon\"":11.3563275,\""x\"":\""11.3563275\"",\""y\"":\""44.5009862\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5009862,\""longitude\"":11.3563275,\""height\"":null},\""geometry\"":\""POINT(11.3563275 44.5009862)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""250715883\"",\""highway\"":\""traffic_signals\"",\""street_count\"":\""4\"",\""lat\"":44.5009862,\""longitude\"":11.3563275}"
23,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.349921,44.5034941,11.349921,44.5034941],\""latitude\"":44.5034941,\""lon\"":11.349921,\""x\"":\""11.349921\"",\""y\"":\""44.5034941\"",\""geometry\"":\""POINT(11.349921 44.5034941)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5034941,\""longitude\"":11.349921,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""250715900\"",\""street_count\"":\""3\"",\""lat\"":44.5034941,\""longitude\"":11.349921}"
24,[RouteNode],"{\""componentId\"":24,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5041698,\""lon\"":11.3482651,\""x\"":\""11.3482651\"",\""y\"":\""44.5041698\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5041698,\""longitude\"":11.3482651,\""height\"":null},\""geometry\"":\""POINT(11.3482651 44.5041698)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""250715910\"",\""street_count\"":\""2\"",\""lat\"":44.5041698,\""longitude\"":11.3482651}"
25,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.347536,44.5043528,11.347536,44.5043528],\""latitude\"":44.5043528,\""lon\"":11.347536,\""x\"":\""11.347536\"",\""y\"":\""44.5043528\"",\""geometry\"":\""POINT(11.347536 44.5043528)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5043528,\""longitude\"":11.347536,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""250715913\"",\""street_count\"":\""3\"",\""lat\"":44.5043528,\""longitude\"":11.347536}"
26,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3461318,44.5043158,11.3461318,44.5043158],\""latitude\"":44.5043158,\""lon\"":11.3461318,\""x\"":\""11.3461318\"",\""y\"":\""44.5043158\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5043158,\""longitude\"":11.3461318,\""height\"":null},\""geometry\"":\""POINT(11.3461318 44.5043158)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""250715919\"",\""street_count\"":\""2\"",\""lat\"":44.5043158,\""longitude\"":11.3461318}"
27,[RouteNode],"{\""componentId\"":27,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5041022,\""lon\"":11.348026,\""x\"":\""11.348026\"",\""y\"":\""44.5041022\"",\""geometry\"":\""POINT(11.348026 44.5041022)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5041022,\""longitude\"":11.348026,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""250715921\"",\""street_count\"":\""2\"",\""lat\"":44.5041022,\""longitude\"":11.348026}"
28,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3493591,44.5035722,11.3493591,44.5035722],\""latitude\"":44.5035722,\""lon\"":11.3493591,\""x\"":\""11.3493591\"",\""y\"":\""44.5035722\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5035722,\""longitude\"":11.3493591,\""height\"":null},\""geometry\"":\""POINT(11.3493591 44.5035722)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""250715923\"",\""street_count\"":\""6\"",\""lat\"":44.5035722,\""longitude\"":11.3493591}"
29,[RouteNode],"{\""componentId\"":29,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5020716,\""lon\"":11.352566,\""x\"":\""11.352566\"",\""y\"":\""44.5020716\"",\""geometry\"":\""POINT(11.352566 44.5020716)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5020716,\""longitude\"":11.352566,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""250715930\"",\""highway\"":\""traffic_signals\"",\""street_count\"":\""3\"",\""lat\"":44.5020716,\""longitude\"":11.352566}"
30,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3525686,44.5020376,11.3525686,44.5020376],\""latitude\"":44.5020376,\""lon\"":11.3525686,\""x\"":\""11.3525686\"",\""y\"":\""44.5020376\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5020376,\""longitude\"":11.3525686,\""height\"":null},\""geometry\"":\""POINT(11.3525686 44.5020376)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""250715931\"",\""street_count\"":\""3\"",\""lat\"":44.5020376,\""longitude\"":11.3525686}"
31,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3528853,44.5020234,11.3528853,44.5020234],\""latitude\"":44.5020234,\""lon\"":11.3528853,\""x\"":\""11.3528853\"",\""y\"":\""44.5020234\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5020234,\""longitude\"":11.3528853,\""height\"":null},\""geometry\"":\""POINT(11.3528853 44.5020234)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""250715932\"",\""highway\"":\""crossing\"",\""street_count\"":\""4\"",\""lat\"":44.5020234,\""longitude\"":11.3528853}"
