id,labels,properties
14961,[RouteNode],"{\""componentId\"":14961,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5229803,\""lon\"":11.362053,\""x\"":\""11.362053\"",\""y\"":\""44.5229803\"",\""geometry\"":\""POINT(11.362053 44.5229803)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5229803,\""longitude\"":11.362053,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974067\"",\""street_count\"":\""2\"",\""lat\"":44.5229803,\""longitude\"":11.362053}"
14962,[RouteNode],"{\""componentId\"":14962,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5230108,\""lon\"":11.3620907,\""x\"":\""11.3620907\"",\""y\"":\""44.5230108\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5230108,\""longitude\"":11.3620907,\""height\"":null},\""geometry\"":\""POINT(11.3620907 44.5230108)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974068\"",\""street_count\"":\""2\"",\""lat\"":44.5230108,\""longitude\"":11.3620907}"
14963,[RouteNode],"{\""componentId\"":14963,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.52303,\""lon\"":11.362119,\""x\"":\""11.362119\"",\""y\"":\""44.52303\"",\""geometry\"":\""POINT(11.362119 44.52303)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.52303,\""longitude\"":11.362119,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974069\"",\""street_count\"":\""2\"",\""lat\"":44.52303,\""longitude\"":11.362119}"
14964,[RouteNode],"{\""componentId\"":14964,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5230487,\""lon\"":11.3621503,\""x\"":\""11.3621503\"",\""y\"":\""44.5230487\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5230487,\""longitude\"":11.3621503,\""height\"":null},\""geometry\"":\""POINT(11.3621503 44.5230487)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974070\"",\""street_count\"":\""2\"",\""lat\"":44.5230487,\""longitude\"":11.3621503}"
14965,[RouteNode],"{\""componentId\"":14965,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5230997,\""lon\"":11.3622679,\""x\"":\""11.3622679\"",\""y\"":\""44.5230997\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5230997,\""longitude\"":11.3622679,\""height\"":null},\""geometry\"":\""POINT(11.3622679 44.5230997)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974071\"",\""street_count\"":\""2\"",\""lat\"":44.5230997,\""longitude\"":11.3622679}"
14966,[RouteNode],"{\""componentId\"":14966,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.523111,\""lon\"":11.3623121,\""x\"":\""11.3623121\"",\""y\"":\""44.523111\"",\""geometry\"":\""POINT(11.3623121 44.523111)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.523111,\""longitude\"":11.3623121,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974072\"",\""street_count\"":\""2\"",\""lat\"":44.523111,\""longitude\"":11.3623121}"
14967,[RouteNode],"{\""componentId\"":14967,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5231346,\""lon\"":11.3625385,\""x\"":\""11.3625385\"",\""y\"":\""44.5231346\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5231346,\""longitude\"":11.3625385,\""height\"":null},\""geometry\"":\""POINT(11.3625385 44.5231346)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974073\"",\""street_count\"":\""2\"",\""lat\"":44.5231346,\""longitude\"":11.3625385}"
14968,[RouteNode],"{\""componentId\"":14968,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5231251,\""lon\"":11.3626441,\""x\"":\""11.3626441\"",\""y\"":\""44.5231251\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5231251,\""longitude\"":11.3626441,\""height\"":null},\""geometry\"":\""POINT(11.3626441 44.5231251)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974074\"",\""street_count\"":\""2\"",\""lat\"":44.5231251,\""longitude\"":11.3626441}"
14969,[RouteNode],"{\""componentId\"":14969,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5231038,\""lon\"":11.3627597,\""x\"":\""11.3627597\"",\""y\"":\""44.5231038\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5231038,\""longitude\"":11.3627597,\""height\"":null},\""geometry\"":\""POINT(11.3627597 44.5231038)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974075\"",\""street_count\"":\""2\"",\""lat\"":44.5231038,\""longitude\"":11.3627597}"
14970,[RouteNode],"{\""componentId\"":14970,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5230764,\""lon\"":11.3628587,\""x\"":\""11.3628587\"",\""y\"":\""44.5230764\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5230764,\""longitude\"":11.3628587,\""height\"":null},\""geometry\"":\""POINT(11.3628587 44.5230764)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974076\"",\""street_count\"":\""2\"",\""lat\"":44.5230764,\""longitude\"":11.3628587}"
14971,[RouteNode],"{\""componentId\"":14971,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5229694,\""lon\"":11.3631196,\""x\"":\""11.3631196\"",\""y\"":\""44.5229694\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5229694,\""longitude\"":11.3631196,\""height\"":null},\""geometry\"":\""POINT(11.3631196 44.5229694)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974077\"",\""street_count\"":\""2\"",\""lat\"":44.5229694,\""longitude\"":11.3631196}"
14972,[RouteNode],"{\""componentId\"":14972,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.522922,\""lon\"":11.3632226,\""x\"":\""11.3632226\"",\""y\"":\""44.522922\"",\""geometry\"":\""POINT(11.3632226 44.522922)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.522922,\""longitude\"":11.3632226,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974078\"",\""street_count\"":\""2\"",\""lat\"":44.522922,\""longitude\"":11.3632226}"
14973,[RouteNode],"{\""componentId\"":14973,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5228571,\""lon\"":11.363377,\""x\"":\""11.363377\"",\""y\"":\""44.5228571\"",\""geometry\"":\""POINT(11.363377 44.5228571)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5228571,\""longitude\"":11.363377,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974079\"",\""street_count\"":\""2\"",\""lat\"":44.5228571,\""longitude\"":11.363377}"
14974,[RouteNode],"{\""componentId\"":14974,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5228332,\""lon\"":11.3634586,\""x\"":\""11.3634586\"",\""y\"":\""44.5228332\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5228332,\""longitude\"":11.3634586,\""height\"":null},\""geometry\"":\""POINT(11.3634586 44.5228332)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974080\"",\""street_count\"":\""2\"",\""lat\"":44.5228332,\""longitude\"":11.3634586}"
14975,[RouteNode],"{\""componentId\"":14975,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5224382,\""lon\"":11.3620378,\""x\"":\""11.3620378\"",\""y\"":\""44.5224382\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5224382,\""longitude\"":11.3620378,\""height\"":null},\""geometry\"":\""POINT(11.3620378 44.5224382)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974094\"",\""street_count\"":\""2\"",\""lat\"":44.5224382,\""longitude\"":11.3620378}"
14976,[RouteNode],"{\""componentId\"":14976,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5221861,\""lon\"":11.3625548,\""x\"":\""11.3625548\"",\""y\"":\""44.5221861\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5221861,\""longitude\"":11.3625548,\""height\"":null},\""geometry\"":\""POINT(11.3625548 44.5221861)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974095\"",\""street_count\"":\""2\"",\""lat\"":44.5221861,\""longitude\"":11.3625548}"
14977,[RouteNode],"{\""componentId\"":14977,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.522156,\""lon\"":11.3626262,\""x\"":\""11.3626262\"",\""y\"":\""44.522156\"",\""geometry\"":\""POINT(11.3626262 44.522156)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.522156,\""longitude\"":11.3626262,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974096\"",\""street_count\"":\""2\"",\""lat\"":44.522156,\""longitude\"":11.3626262}"
14978,[RouteNode],"{\""componentId\"":14978,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5221342,\""lon\"":11.3626806,\""x\"":\""11.3626806\"",\""y\"":\""44.5221342\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5221342,\""longitude\"":11.3626806,\""height\"":null},\""geometry\"":\""POINT(11.3626806 44.5221342)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974097\"",\""street_count\"":\""2\"",\""lat\"":44.5221342,\""longitude\"":11.3626806}"
14979,[RouteNode],"{\""componentId\"":14979,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5221449,\""lon\"":11.3625814,\""x\"":\""11.3625814\"",\""y\"":\""44.5221449\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5221449,\""longitude\"":11.3625814,\""height\"":null},\""geometry\"":\""POINT(11.3625814 44.5221449)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974098\"",\""street_count\"":\""2\"",\""lat\"":44.5221449,\""longitude\"":11.3625814}"
14980,[RouteNode],"{\""componentId\"":14980,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5221871,\""lon\"":11.3624979,\""x\"":\""11.3624979\"",\""y\"":\""44.5221871\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5221871,\""longitude\"":11.3624979,\""height\"":null},\""geometry\"":\""POINT(11.3624979 44.5221871)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974099\"",\""street_count\"":\""2\"",\""lat\"":44.5221871,\""longitude\"":11.3624979}"
14981,[RouteNode],"{\""componentId\"":14981,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5221636,\""lon\"":11.3625405,\""x\"":\""11.3625405\"",\""y\"":\""44.5221636\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5221636,\""longitude\"":11.3625405,\""height\"":null},\""geometry\"":\""POINT(11.3625405 44.5221636)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974100\"",\""street_count\"":\""2\"",\""lat\"":44.5221636,\""longitude\"":11.3625405}"
14982,[RouteNode],"{\""componentId\"":14982,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5221193,\""lon\"":11.3626347,\""x\"":\""11.3626347\"",\""y\"":\""44.5221193\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5221193,\""longitude\"":11.3626347,\""height\"":null},\""geometry\"":\""POINT(11.3626347 44.5221193)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974101\"",\""street_count\"":\""2\"",\""lat\"":44.5221193,\""longitude\"":11.3626347}"
14983,[RouteNode],"{\""componentId\"":14983,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.522097,\""lon\"":11.3626801,\""x\"":\""11.3626801\"",\""y\"":\""44.522097\"",\""geometry\"":\""POINT(11.3626801 44.522097)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.522097,\""longitude\"":11.3626801,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974102\"",\""street_count\"":\""2\"",\""lat\"":44.522097,\""longitude\"":11.3626801}"
14984,[RouteNode],"{\""componentId\"":14984,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.522075,\""lon\"":11.3627264,\""x\"":\""11.3627264\"",\""y\"":\""44.522075\"",\""geometry\"":\""POINT(11.3627264 44.522075)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.522075,\""longitude\"":11.3627264,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974103\"",\""street_count\"":\""2\"",\""lat\"":44.522075,\""longitude\"":11.3627264}"
14985,[RouteNode],"{\""componentId\"":14985,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5220539,\""lon\"":11.3627636,\""x\"":\""11.3627636\"",\""y\"":\""44.5220539\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5220539,\""longitude\"":11.3627636,\""height\"":null},\""geometry\"":\""POINT(11.3627636 44.5220539)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974104\"",\""street_count\"":\""2\"",\""lat\"":44.5220539,\""longitude\"":11.3627636}"
14986,[RouteNode],"{\""componentId\"":14986,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5220329,\""lon\"":11.3627992,\""x\"":\""11.3627992\"",\""y\"":\""44.5220329\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5220329,\""longitude\"":11.3627992,\""height\"":null},\""geometry\"":\""POINT(11.3627992 44.5220329)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974105\"",\""street_count\"":\""2\"",\""lat\"":44.5220329,\""longitude\"":11.3627992}"
14987,[RouteNode],"{\""componentId\"":14987,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5219918,\""lon\"":11.362845,\""x\"":\""11.362845\"",\""y\"":\""44.5219918\"",\""geometry\"":\""POINT(11.362845 44.5219918)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5219918,\""longitude\"":11.362845,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974106\"",\""street_count\"":\""2\"",\""lat\"":44.5219918,\""longitude\"":11.362845}"
14988,[RouteNode],"{\""componentId\"":14988,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5219677,\""lon\"":11.3628627,\""x\"":\""11.3628627\"",\""y\"":\""44.5219677\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5219677,\""longitude\"":11.3628627,\""height\"":null},\""geometry\"":\""POINT(11.3628627 44.5219677)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974107\"",\""street_count\"":\""2\"",\""lat\"":44.5219677,\""longitude\"":11.3628627}"
14989,[RouteNode],"{\""componentId\"":14989,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5219118,\""lon\"":11.3628942,\""x\"":\""11.3628942\"",\""y\"":\""44.5219118\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5219118,\""longitude\"":11.3628942,\""height\"":null},\""geometry\"":\""POINT(11.3628942 44.5219118)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974108\"",\""street_count\"":\""2\"",\""lat\"":44.5219118,\""longitude\"":11.3628942}"
14990,[RouteNode],"{\""componentId\"":14990,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5218148,\""lon\"":11.3629112,\""x\"":\""11.3629112\"",\""y\"":\""44.5218148\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5218148,\""longitude\"":11.3629112,\""height\"":null},\""geometry\"":\""POINT(11.3629112 44.5218148)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974109\"",\""street_count\"":\""2\"",\""lat\"":44.5218148,\""longitude\"":11.3629112}"
14991,[RouteNode],"{\""componentId\"":14991,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5217695,\""lon\"":11.3629135,\""x\"":\""11.3629135\"",\""y\"":\""44.5217695\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5217695,\""longitude\"":11.3629135,\""height\"":null},\""geometry\"":\""POINT(11.3629135 44.5217695)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974110\"",\""street_count\"":\""2\"",\""lat\"":44.5217695,\""longitude\"":11.3629135}"
14992,[RouteNode],"{\""componentId\"":14992,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5216906,\""lon\"":11.3629056,\""x\"":\""11.3629056\"",\""y\"":\""44.5216906\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5216906,\""longitude\"":11.3629056,\""height\"":null},\""geometry\"":\""POINT(11.3629056 44.5216906)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974111\"",\""street_count\"":\""2\"",\""lat\"":44.5216906,\""longitude\"":11.3629056}"
14993,[RouteNode],"{\""componentId\"":14993,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.521665,\""lon\"":11.362899,\""x\"":\""11.362899\"",\""y\"":\""44.521665\"",\""geometry\"":\""POINT(11.362899 44.521665)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.521665,\""longitude\"":11.362899,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974112\"",\""street_count\"":\""2\"",\""lat\"":44.521665,\""longitude\"":11.362899}"
14994,[RouteNode],"{\""componentId\"":14994,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5215819,\""lon\"":11.3630888,\""x\"":\""11.3630888\"",\""y\"":\""44.5215819\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5215819,\""longitude\"":11.3630888,\""height\"":null},\""geometry\"":\""POINT(11.3630888 44.5215819)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974113\"",\""street_count\"":\""2\"",\""lat\"":44.5215819,\""longitude\"":11.3630888}"
14995,[RouteNode],"{\""componentId\"":14995,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5216276,\""lon\"":11.3632006,\""x\"":\""11.3632006\"",\""y\"":\""44.5216276\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5216276,\""longitude\"":11.3632006,\""height\"":null},\""geometry\"":\""POINT(11.3632006 44.5216276)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974114\"",\""street_count\"":\""2\"",\""lat\"":44.5216276,\""longitude\"":11.3632006}"
14996,[RouteNode],"{\""componentId\"":14996,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5216517,\""lon\"":11.3632893,\""x\"":\""11.3632893\"",\""y\"":\""44.5216517\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5216517,\""longitude\"":11.3632893,\""height\"":null},\""geometry\"":\""POINT(11.3632893 44.5216517)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974115\"",\""street_count\"":\""2\"",\""lat\"":44.5216517,\""longitude\"":11.3632893}"
14997,[RouteNode],"{\""componentId\"":14997,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5216642,\""lon\"":11.3633737,\""x\"":\""11.3633737\"",\""y\"":\""44.5216642\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5216642,\""longitude\"":11.3633737,\""height\"":null},\""geometry\"":\""POINT(11.3633737 44.5216642)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974116\"",\""street_count\"":\""2\"",\""lat\"":44.5216642,\""longitude\"":11.3633737}"
14998,[RouteNode],"{\""componentId\"":14998,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.521662,\""lon\"":11.3635046,\""x\"":\""11.3635046\"",\""y\"":\""44.521662\"",\""geometry\"":\""POINT(11.3635046 44.521662)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.521662,\""longitude\"":11.3635046,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974117\"",\""street_count\"":\""2\"",\""lat\"":44.521662,\""longitude\"":11.3635046}"
14999,[RouteNode],"{\""componentId\"":14999,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5216486,\""lon\"":11.3635807,\""x\"":\""11.3635807\"",\""y\"":\""44.5216486\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5216486,\""longitude\"":11.3635807,\""height\"":null},\""geometry\"":\""POINT(11.3635807 44.5216486)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974118\"",\""street_count\"":\""2\"",\""lat\"":44.5216486,\""longitude\"":11.3635807}"
15000,[RouteNode],"{\""componentId\"":15000,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5219182,\""lon\"":11.3634228,\""x\"":\""11.3634228\"",\""y\"":\""44.5219182\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5219182,\""longitude\"":11.3634228,\""height\"":null},\""geometry\"":\""POINT(11.3634228 44.5219182)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974119\"",\""street_count\"":\""2\"",\""lat\"":44.5219182,\""longitude\"":11.3634228}"
15001,[RouteNode],"{\""componentId\"":15001,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5218444,\""lon\"":11.3634425,\""x\"":\""11.3634425\"",\""y\"":\""44.5218444\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5218444,\""longitude\"":11.3634425,\""height\"":null},\""geometry\"":\""POINT(11.3634425 44.5218444)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974120\"",\""street_count\"":\""2\"",\""lat\"":44.5218444,\""longitude\"":11.3634425}"
15002,[RouteNode],"{\""componentId\"":15002,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5217909,\""lon\"":11.3634702,\""x\"":\""11.3634702\"",\""y\"":\""44.5217909\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5217909,\""longitude\"":11.3634702,\""height\"":null},\""geometry\"":\""POINT(11.3634702 44.5217909)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974121\"",\""street_count\"":\""2\"",\""lat\"":44.5217909,\""longitude\"":11.3634702}"
15003,[RouteNode],"{\""componentId\"":15003,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5219563,\""lon\"":11.3634177,\""x\"":\""11.3634177\"",\""y\"":\""44.5219563\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5219563,\""longitude\"":11.3634177,\""height\"":null},\""geometry\"":\""POINT(11.3634177 44.5219563)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974122\"",\""street_count\"":\""2\"",\""lat\"":44.5219563,\""longitude\"":11.3634177}"
15004,[RouteNode],"{\""componentId\"":15004,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5220328,\""lon\"":11.3634216,\""x\"":\""11.3634216\"",\""y\"":\""44.5220328\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5220328,\""longitude\"":11.3634216,\""height\"":null},\""geometry\"":\""POINT(11.3634216 44.5220328)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974123\"",\""street_count\"":\""2\"",\""lat\"":44.5220328,\""longitude\"":11.3634216}"
15005,[RouteNode],"{\""componentId\"":15005,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5220574,\""lon\"":11.3634271,\""x\"":\""11.3634271\"",\""y\"":\""44.5220574\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5220574,\""longitude\"":11.3634271,\""height\"":null},\""geometry\"":\""POINT(11.3634271 44.5220574)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974124\"",\""street_count\"":\""2\"",\""lat\"":44.5220574,\""longitude\"":11.3634271}"
15006,[RouteNode],"{\""componentId\"":15006,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5217276,\""lon\"":11.3635282,\""x\"":\""11.3635282\"",\""y\"":\""44.5217276\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5217276,\""longitude\"":11.3635282,\""height\"":null},\""geometry\"":\""POINT(11.3635282 44.5217276)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974125\"",\""street_count\"":\""2\"",\""lat\"":44.5217276,\""longitude\"":11.3635282}"
15007,[RouteNode],"{\""componentId\"":15007,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5216744,\""lon\"":11.3636016,\""x\"":\""11.3636016\"",\""y\"":\""44.5216744\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5216744,\""longitude\"":11.3636016,\""height\"":null},\""geometry\"":\""POINT(11.3636016 44.5216744)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974126\"",\""street_count\"":\""2\"",\""lat\"":44.5216744,\""longitude\"":11.3636016}"
15008,[RouteNode],"{\""componentId\"":15008,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.521637,\""lon\"":11.3636218,\""x\"":\""11.3636218\"",\""y\"":\""44.521637\"",\""geometry\"":\""POINT(11.3636218 44.521637)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.521637,\""longitude\"":11.3636218,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974127\"",\""street_count\"":\""2\"",\""lat\"":44.521637,\""longitude\"":11.3636218}"
15009,[RouteNode],"{\""componentId\"":15009,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5216195,\""lon\"":11.3636749,\""x\"":\""11.3636749\"",\""y\"":\""44.5216195\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5216195,\""longitude\"":11.3636749,\""height\"":null},\""geometry\"":\""POINT(11.3636749 44.5216195)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974128\"",\""street_count\"":\""2\"",\""lat\"":44.5216195,\""longitude\"":11.3636749}"
15010,[RouteNode],"{\""componentId\"":15010,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5216459,\""lon\"":11.3636519,\""x\"":\""11.3636519\"",\""y\"":\""44.5216459\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5216459,\""longitude\"":11.3636519,\""height\"":null},\""geometry\"":\""POINT(11.3636519 44.5216459)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""11275974129\"",\""street_count\"":\""2\"",\""lat\"":44.5216459,\""longitude\"":11.3636519}"
